#GRM158R61A226ME15,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC0.5Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.05,0.2691727685135481,
0.1,0.35483709249424233,
0.15000000000000002,0.2655505838545569,
0.2,0.010507226935696501,
0.25,-0.4006083524281667,
0.30000000000000004,-0.9577579531773184,
0.35000000000000003,-1.650677005550416,
0.4,-2.4689910786062974,
0.45,-3.402321171244238,
0.5,-4.44037755393194,
0.55,-5.573042174672416,
0.6000000000000001,-6.7904398507316,
0.65,-8.082998638478045,
0.7000000000000001,-9.441499909388817,
0.75,-10.857118763511696,
0.8,-12.321455485523803,
0.8500000000000001,-13.82655879630792,
0.9,-15.364941678090771,
0.9500000000000001,-16.929590557024188,
1.0,-18.513968616891653,
1.05,-20.11201399443605,
1.1,-21.71813357343464,
1.1500000000000001,-23.32719305361939,
1.2000000000000002,-24.934503924088457,
1.25,-26.535807920917044,
1.3,-28.1272594969031,
1.35,-29.70540677915422,
1.4000000000000001,-31.26717143865735,
1.4500000000000002,-32.809827845967455,
1.5,-34.33098183938685,
1.55,-35.828549386988506,
1.6,-37.30073538191013,
1.6500000000000001,-38.746012771723635,
1.7000000000000002,-40.16310218746882,
1.75,-41.55095220614313,
1.8,-42.90872035199992,
1.85,-44.235754916808936,
1.9000000000000001,-45.53157765711801,
1.9500000000000002,-46.795867407335145,
2.0,-48.02844463091846,
2.0500000000000003,-49.22925691790172,
2.1,-50.3983654251696,
2.15,-51.53593224611521,
2.2,-52.642208688340794,
2.25,-53.717524431703836,
2.3000000000000003,-54.76227753406317,
2.35,-55.77692524836765,
2.4000000000000004,-56.76197561208289,
2.45,-57.71797976821902,
2.5,-58.64552497626065,
2.5500000000000003,-59.545228270992936,
2.6,-60.41773072744099,
2.6500000000000004,-61.263692290809566,
2.7,-62.08378713132514,
2.75,-62.87869948517864,
2.8000000000000003,-63.64911994427152,
2.85,-64.39574215912725,
2.9000000000000004,-65.11925992109755,
2.95,-65.82036459182228,
3.0,-66.49974284976915,
3.0500000000000003,-67.1580747255447,
3.1,-67.79603189951999,
3.1500000000000004,-68.41427623712597,
3.2,-69.0134585389345,
3.25,-69.59421748434214,
3.3000000000000003,-70.15717874929915,
3.35,-70.70295428008069,
3.4000000000000004,-71.23214170656826,
3.45,-71.74532387989778,
3.5,-72.24306852063977,
3.5500000000000003,-72.72592796489872,
3.6,-73.19443899686371,
3.6500000000000004,-73.64912275740552,
3.7,-74.09048471930154,
3.75,-74.5190147205875,
3.8000000000000003,-74.93518704837369,
3.85,-75.33946056624471,
3.9000000000000004,-75.73227887907275,
3.95,-76.1140705297312,
4.0,-76.4852492227908,
4.05,-76.84621407083013,
4.1000000000000005,-77.19734985948676,
4.15,-77.53902732782876,
4.2,-77.87160346103606,
4.25,-78.19542179275018,
4.3,-78.51081271478671,
4.3500000000000005,-78.81809379220572,
4.4,-79.1175700820045,
4.45,-79.40953445393981,
4.5,-79.69426791220215,
4.55,-79.97203991685848,
4.6000000000000005,-80.24310870414682,
4.65,-80.50772160485998,
4.7,-80.76611536018734,
4.75,-81.01851643449697,
4.800000000000001,-81.26514132464668,
4.8500000000000005,-81.50619686549297,
4.9,-81.74188053134934,
4.95,-81.97238073320423,
5.0,-82.1978771115655,
5.050000000000001,-82.41854082484339,
5.1000000000000005,-82.63453483322145,
5.15,-82.84601417799512,
5.2,-83.0531262563827,
5.25,-83.25601109182998,
5.300000000000001,-83.45480159984888,
5.3500000000000005,-83.64962384943411,
5.4,-83.84059732011355,
5.45,-84.02783515468973,
5.5,-84.21144440773097,
5.550000000000001,-84.39152628986987,
5.6000000000000005,-84.56817640796616,
5.65,-84.74148500118548,
5.7,-84.9115371730437,
5.75,-85.07841311945896,
5.800000000000001,-85.24218835285254,
5.8500000000000005,-85.40293392233156,
5.9,-85.56071662998504,
5.95,-85.71559924331828,
6.0,-85.86764070384929,
6.050000000000001,-86.01689633188855,
6.1000000000000005,-86.16341802752139,
6.15,-86.30725446781098,
6.2,-86.44845130024392,
6.25,-86.58705133243869,
6.300000000000001,-86.72309471814289,
6.3500000000000005,-86.85661913954806,
6.4,-86.98765998595921,
6.45,-87.11625052885778,
6.5,-87.24242209341213,
6.550000000000001,-87.36620422649108,
6.6000000000000005,-87.48762486125301,
6.65,-87.6067104783896,
6.7,-87.7234862641172,
6.75,-87.83797626502249,
6.800000000000001,-87.9502035398806,
6.8500000000000005,-88.06019030858002,
6.9,-88.16795809830313,
6.95,-88.27352788712416,
7.0,-88.37692024520366,
7.050000000000001,-88.478155473774,
7.1000000000000005,-88.57725374212232,
7.15,-88.67423522279624,
7.2,-88.76912022526903,
7.25,-88.86192932831541,
7.300000000000001,-88.95268351136096,
7.3500000000000005,-89.0414042850832,
7.4,-89.12811382154834,
7.45,-89.21283508417672,
7.5,-89.29559195784286,
7.550000000000001,-89.37640937941454,
7.6000000000000005,-89.45531346903837,
7.65,-89.53233166248616,
7.7,-89.60749284486313,
7.75,-89.6808274859835,
7.800000000000001,-89.75236777769815,
7.8500000000000005,-89.82214777345597,
7.9,-89.89020353034999,
7.95,-89.95657325388726,
8.0,-90.02129744568231,
8.05,-90.08441905424314,
8.1,-90.14598362897493,
8.15,-90.2060394774792,
8.200000000000001,-90.26463782615963,
8.25,-90.3218329840912,
8.3,-90.3776825100225,
8.35,-90.43224738229527,
8.4,-90.4855921713746,
8.450000000000001,-90.53778521456188,
8.5,-90.58889879234367,
8.55,-90.63900930569933,
8.6,-90.68819745352297,
8.65,-90.73654840916171,
8.700000000000001,-90.78415199488518,
8.75,-90.83110285289652,
8.8,-90.87750061128128,
8.85,-90.92345004306196,
8.9,-90.96906121625943,
8.950000000000001,-91.01444963261022,
9.0,-91.05973635228918,
9.05,-91.10504810169114,
9.1,-91.15051736101097,
9.15,-91.19628242802756,
9.200000000000001,-91.24248745416189,
9.25,-91.28928244853608,
9.3,-91.33682324541384,
9.35,-91.3852714300506,
9.4,-91.4347942176647,
9.450000000000001,-91.4855642799005,
9.5,-91.5377595128882,
9.55,-91.59156274072068,
9.600000000000001,-91.64716134797818,
9.65,-91.70474683477104,
9.700000000000001,-91.76451428769651,
9.75,-91.82666176011247,
9.8,-91.89138955526397,
9.850000000000001,-91.95889940602535,
9.9,-92.02939354543123,
9.950000000000001,-92.10307366270894,
10.0,-92.18013974028618,
