#GRM188R61E106MA73,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.12307245844125347,
0.25,-0.01697249999037531,
0.375,-0.40364033963957713,
0.5,-1.019310481766189,
0.625,-1.8456016507048312,
0.75,-2.863706374636188,
0.875,-4.05469130982371,
1.0,-5.399761537637104,
1.125,-6.880488261955242,
1.25,-8.47900040201306,
1.375,-10.178141434545019,
1.5,-11.961593499503708,
1.625,-13.813971261893975,
1.75,-15.720888338356042,
1.875,-17.668999273082765,
2.0,-19.64602010609712,
2.125,-21.640730539959353,
2.25,-23.642960599407935,
2.375,-25.643564511172322,
2.5,-27.634384324932537,
2.625,-29.608205565490074,
2.75,-31.55870696264891,
2.875,-33.48040605881618,
3.0,-35.368602252561885,
3.125,-37.219318605094685,
3.25,-39.0292435199477,
3.375,-40.79567320686546,
3.5,-42.516455660528116,
3.625,-44.189936723995004,
3.75,-45.814908665524754,
3.875,-47.390561575107846,
4.0,-48.916437782605314,
4.125,-50.392389411534324,
4.25,-51.818539109821046,
4.375,-53.19524393971964,
4.5,-54.523062362027005,
4.625,-55.80272421319516,
4.75,-57.03510354651999,
4.875,-58.221194188922794,
5.0,-59.362087851713554,
5.125,-60.458954626017245,
5.25,-61.5130256902721,
5.375,-62.52557805749605,
5.5,-63.49792119311339,
5.625,-64.43138533938348,
5.75,-65.32731138932611,
5.875,-66.18704216103163,
6.0,-67.01191493198945,
6.125,-67.8032551022552,
6.25,-68.56237086464722,
6.375,-69.29054876951726,
6.5,-69.9890500808209,
6.625,-70.65910782910333,
6.75,-71.30192447552426,
6.875,-71.91867010911872,
7.0,-72.51048110708173,
7.125,-73.07845919495837,
7.25,-73.62367085020568,
7.375,-74.14714699867363,
7.5,-74.64988295913957,
7.625,-75.13283859614266,
7.75,-75.59693864602235,
7.875,-76.04307318529327,
8.0,-76.47209821431534,
8.125,-76.8848363326696,
8.25,-77.28207748575228,
8.375,-77.66457976488562,
8.5,-78.03307024573162,
8.625,-78.38824585201792,
8.75,-78.73077423356256,
8.875,-79.06129464933814,
9.0,-79.38041884787204,
9.125,-79.68873193865254,
9.25,-79.98679324941959,
9.375,-80.2751371652816,
9.5,-80.55427394653127,
9.625,-80.82469052284321,
9.75,-81.08685126224225,
9.875,-81.34119871384044,
10.0,-81.58815432386456,
10.125,-81.82811912494273,
10.25,-82.06147439899684,
10.375,-82.28858231440374,
10.5,-82.50978653834896,
10.625,-82.72541282550671,
10.75,-82.93576958434691,
10.875,-83.14114842249568,
11.0,-83.34182467266373,
11.125,-83.53805790071725,
11.25,-83.73009239748981,
11.375,-83.91815765594059,
11.5,-84.10246883523847,
11.625,-84.28322721331264,
11.75,-84.46062062935046,
11.875,-84.6348239176461,
12.0,-84.80599933411673,
12.125,-84.97429697669956,
12.25,-85.139855200738,
12.375,-85.30280103034058,
12.5,-85.46325056658226,
12.625,-85.62130939328296,
12.75,-85.77707298097393,
12.875,-85.93062708953346,
13.0,-86.08204816984289,
13.125,-86.23140376469082,
13.25,-86.3787529090323,
13.375,-86.52414652959277,
13.5,-86.66762784369962,
13.625,-86.8092327571214,
13.75,-86.94899026060297,
13.875,-87.08692282470348,
14.0,-87.2230467924703,
14.125,-87.35737276942083,
14.25,-87.4899060102566,
14.375,-87.62064680169324,
14.5,-87.749590840766,
14.625,-87.87672960795699,
14.75,-88.00205073448564,
14.875,-88.12553836311832,
15.0,-88.2471735018699,
15.125,-88.3669343700054,
15.25,-88.48479673579298,
15.375,-88.60073424550875,
15.5,-88.71471874326144,
15.625,-88.82672058126992,
15.75,-88.9367089203081,
15.875,-89.04465202011636,
16.0,-89.15051751966688,
16.125,-89.254272707269,
16.25,-89.35588478059915,
16.375,-89.45532109684325,
16.5,-89.55254941324536,
16.625,-89.64753811846387,
16.75,-89.74025645524384,
16.875,-89.83067473502376,
17.0,-89.9187645451998,
17.125,-90.00449894988029,
17.25,-90.08785268506536,
17.375,-90.1688023492857,
17.5,-90.24732659083959,
17.625,-90.32340629285369,
17.75,-90.39702475748913,
17.875,-90.468167890696,
18.0,-90.53682438900164,
18.125,-90.60298592988451,
18.25,-90.66664736736217,
18.375,-90.7278069344637,
18.5,-90.78646645432237,
18.625,-90.8426315616447,
18.75,-90.89631193635077,
18.875,-90.94752155118321,
19.0,-90.99627893508516,
19.125,-91.04260745411553,
19.25,-91.08653561163939,
19.375,-91.12809736945104,
19.5,-91.16733249140026,
19.625,-91.20428691096298,
19.75,-91.23901312403497,
19.875,-91.27157060801808,
20.0,-91.3020262680233,
20.125,-91.33045491070098,
20.25,-91.35693974584683,
20.375,-91.381572915492,
20.5,-91.40445604967582,
20.625,-91.42570084750028,
20.75,-91.44542968137432,
20.875,-91.46377622155948,
21.0,-91.4808860772227,
21.125,-91.49691744916844,
21.25,-91.51204178827376,
21.375,-91.52644445234164,
21.5,-91.54032535266987,
21.625,-91.5538995800283,
21.75,-91.56739799803609,
21.875,-91.5810677900461,
22.0,-91.59517294364055,
22.125,-91.60999465473783,
22.25,-91.6258316310737,
22.375,-91.64300027254791,
22.5,-91.6618347036109,
22.625,-91.68268663056581,
22.75,-91.70592499448793,
22.875,-91.73193538839415,
23.0,-91.76111920555397,
23.125,-91.79389248442658,
23.25,-91.83068441479337,
23.375,-91.87193546944032,
23.5,-91.91809512627133,
23.625,-91.9696191473049,
23.75,-92.02696638371839,
23.875,-92.09059508021735,
24.0,-92.1609586576667,
24.125,-92.23850096038642,
24.25,-92.32365096389842,
24.375,-92.41681695038643,
24.5,-92.51838017285267,
24.625,-92.62868804487594,
24.75,-92.74804691104131,
24.875,-92.87671447336922,
25.0,-93.0148919711607,
