#GRM21BR61E226ME44,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC0.5Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.5119945301611306,
0.25,0.7663367398253351,
0.375,0.7756309432332076,
0.5,0.5538481218803515,
0.625,0.11600515731284844,
0.75,-0.5221368581628694,
0.875,-1.3443511957247356,
1.0,-2.334198142128585,
1.125,-3.475250030216981,
1.25,-4.751287917015434,
1.375,-6.146470000409765,
1.5,-7.645472540116094,
1.625,-9.23360458173823,
1.75,-10.896898183905378,
1.875,-12.622176130458595,
2.0,-14.397099286800586,
2.125,-16.21019584698391,
2.25,-18.0508747309971,
2.375,-19.909425344502175,
2.5,-21.777005819413418,
2.625,-23.645621725298604,
2.75,-25.508097089259174,
2.875,-27.358039394810863,
3.0,-29.189800055931205,
3.125,-30.998431687030326,
3.25,-32.77964331798368,
3.375,-34.52975453921279,
3.5,-36.24564940775766,
3.625,-37.92473080312231,
3.75,-39.564875792435785,
3.875,-41.164392448603195,
4.0,-42.721978462608135,
4.125,-44.23668180159501,
4.25,-45.70786358716702,
4.375,-47.135163302667735,
4.5,-48.518466383133955,
4.625,-49.85787419611973,
4.75,-51.153676384686555,
4.875,-52.40632551452672,
5.0,-53.61641394448199,
5.125,-54.784652822727686,
5.25,-55.911853098777065,
5.375,-56.99890843345662,
5.5,-58.04677988441915,
5.625,-59.056482242986,
5.75,-60.029071898599405,
5.875,-60.965636109453115,
6.0,-61.86728356154547,
6.125,-62.735136103118336,
6.25,-63.57032154691701,
6.375,-64.37396743868375,
6.5,-65.14719569658105,
6.625,-65.89111803266667,
6.75,-66.6068320739777,
6.875,-67.29541810712357,
7.0,-67.95793637645761,
7.125,-68.59542487183465,
7.25,-69.20889754762307,
7.375,-69.79934291999894,
7.5,-70.3677229945848,
7.625,-70.91497248120255,
7.75,-71.44199825688318,
7.875,-71.949679042324,
8.0,-72.43886526071331,
8.125,-72.91037905126404,
8.25,-73.36501441292967,
8.375,-73.80353745662956,
8.5,-74.22668674690574,
8.625,-74.63517371628461,
8.75,-75.0296831377449,
8.875,-75.4108736426091,
9.0,-75.77937827290226,
9.125,-76.13580505876918,
9.25,-76.48073761292741,
9.375,-76.81473573537085,
9.5,-77.13833602264093,
9.625,-77.45205247696178,
9.75,-77.75637711140195,
9.875,-78.05178054799102,
10.0,-78.3387126063926,
10.125,-78.61760288132257,
10.25,-78.88886130741656,
10.375,-79.15287871069339,
10.5,-79.41002734614374,
10.625,-79.6606614212988,
10.75,-79.90511760590812,
10.875,-80.14371552808362,
11.0,-80.37675825745399,
11.125,-80.60453277602022,
11.25,-80.82731043751986,
11.375,-81.0453474161893,
11.5,-81.2588851458684,
11.625,-81.46815075042645,
11.75,-81.67335746649188,
11.875,-81.87470505946142,
12.0,-82.07238023373498,
12.125,-82.26655703807737,
12.25,-82.45739726695504,
12.375,-82.64505085862477,
12.5,-82.8296562906783,
12.625,-83.01134097365996,
12.75,-83.19022164328756,
12.875,-83.36640475171212,
13.0,-83.5399868581569,
13.125,-83.7110550191794,
13.25,-83.87968717870592,
13.375,-84.04595255789206,
13.5,-84.20991204477455,
13.625,-84.37161858359161,
13.75,-84.53111756357019,
13.875,-84.68844720690211,
14.0,-84.84363895556709,
14.125,-84.99671785659689,
14.25,-85.14770294533,
14.375,-85.29660762615893,
14.5,-85.44344005024618,
14.625,-85.5882034896561,
14.75,-85.73089670734433,
14.875,-85.87151432243762,
15.0,-86.01004717024976,
15.125,-86.14648265649237,
15.25,-86.28080510516762,
15.375,-86.41299609966498,
15.5,-86.54303481662937,
15.625,-86.6708983522186,
15.75,-86.79656204042931,
15.875,-86.91999976323757,
16.0,-87.04118425237041,
16.125,-87.16008738261016,
16.25,-87.27668045660782,
16.375,-87.39093448127838,
16.5,-87.5028204359352,
16.625,-87.61230953241886,
16.75,-87.71937346757099,
16.875,-87.82398466849601,
17.0,-87.92611653115982,
17.125,-88.0257436529634,
17.25,-88.12284206002931,
17.375,-88.2173894300353,
17.5,-88.30936531151877,
17.625,-88.39875134066565,
17.75,-88.48553145668873,
17.875,-88.5696921169699,
18.0,-88.65122251323515,
18.125,-88.73011479008314,
18.25,-88.80636426726736,
18.375,-88.87996966717917,
18.5,-88.95093334903001,
18.625,-89.01926155127086,
18.75,-89.08496464380991,
18.875,-89.14805739160226,
19.0,-89.20855923119395,
19.125,-89.26649456177172,
19.25,-89.32189305224323,
19.375,-89.37478996581356,
19.5,-89.42522650343518,
19.625,-89.47325016740741,
19.75,-89.51891514625441,
19.875,-89.56228272182958,
20.0,-89.60342169938929,
20.125,-89.64240886109627,
20.25,-89.67932944312041,
20.375,-89.71427763611173,
20.5,-89.74735710840461,
20.625,-89.77868155079175,
20.75,-89.80837524113512,
20.875,-89.83657362641306,
21.0,-89.86342391903577,
21.125,-89.8890857034215,
21.25,-89.91373154785099,
21.375,-89.93754761554929,
21.5,-89.96073426776303,
21.625,-89.9835066502849,
21.75,-90.0060952534581,
21.875,-90.02874643414167,
22.0,-90.05172288646297,
22.125,-90.07530404642259,
22.25,-90.09978641354702,
22.375,-90.12548377087887,
22.5,-90.15272728259939,
22.625,-90.18186544662332,
22.75,-90.21326387753578,
22.875,-90.24730489340617,
23.0,-90.28438687830153,
23.125,-90.32492339085985,
23.25,-90.36934198814781,
23.375,-90.41808273332124,
23.5,-90.4715963554409,
23.625,-90.53034203033624,
23.75,-90.59478475275289,
23.875,-90.6653922723602,
24.0,-90.74263156965635,
24.125,-90.8269648526149,
24.25,-90.91884506111643,
24.375,-91.01871087409424,
24.5,-91.12698122388525,
24.625,-91.24404933371271,
24.75,-91.37027630752172,
24.875,-91.50598431659321,
25.0,-91.65144944434324,
